package	version
libgcrypt20:amd64	1.10.3-2ubuntu0.1
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgprofng0:amd64	2.42-4ubuntu2.10
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.7
libhiredis1.1.0:amd64	1.2.0-6ubuntu3
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjansson4:amd64	2.14-2build2
libk5crypto3:amd64	1.20.1-6ubuntu2.7
libkeyutils1:amd64	1.6.3-3build1
libkmod2:amd64	31+20240202-2ubuntu7.2
libkrb5-3:amd64	1.20.1-6ubuntu2.7
libkrb5support0:amd64	1.20.1-6ubuntu2.7
libksba8:amd64	1.6.6-1build1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
libllvm18:amd64	1:18.1.3-1ubuntu1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
libmd0:amd64	1.1.0-2build1.1
libmnl0:amd64	1.0.5-2build1
libmount1:amd64	2.39.3-9ubuntu6.5
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnftables1:amd64	1.0.9-1ubuntu0.1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnpth0t64:amd64	1.6-3.1build1
libobjc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libobjc4:amd64	14.2.0-4ubuntu2~24.04.1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam0g:amd64	1.5.3-5ubuntu5.5
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.3
libpfm4:amd64	4.13.0+git32-g0d4ed0e-1
libpopt0:amd64	1.19+dfsg-1build1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.15
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.15
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
libreadline8t64:amd64	8.2-4build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.10
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsqlite3-0:amd64	3.45.1-1ubuntu2.7
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.4
libssl-dev:amd64	3.0.13-0ubuntu3.11
libssl3t64:amd64	3.0.13-0ubuntu3.11
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsystemd0:amd64	255.4-1ubuntu8.16
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.16
libunistring5:amd64	1.1-2build1.1
libuuid1:amd64	2.39.3-9ubuntu6.5
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxtables12:amd64	1.8.10-3ubuntu2
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libzstd-dev:amd64	1.5.5+dfsg2-2build1.1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-libc-dev:amd64	6.8.0-136.136
lld-18	1:18.1.3-1ubuntu1
lld:amd64	1:18.0-59~exp2
llvm	1:18.0-59~exp2
llvm-18	1:18.1.3-1ubuntu1
llvm-18-linker-tools	1:18.1.3-1ubuntu1
llvm-18-runtime	1:18.1.3-1ubuntu1
llvm-runtime:amd64	1:18.0-59~exp2
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47
m4	1.4.19-4build1
make	4.3-4.1build2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mount	2.39.3-9ubuntu6.5
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
nftables	1.0.9-1ubuntu0.1
openssl	3.0.13-0ubuntu3.11
pahole	1.25-0ubuntu3
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2ubuntu0.3
perl-base	5.38.2-3.2ubuntu0.3
perl-modules-5.38	5.38.2-3.2ubuntu0.3
pinentry-curses	1.2.1-3ubuntu5
procps	2:4.0.4-4ubuntu3.2
python3	3.12.3-0ubuntu2.1
python3-minimal	3.12.3-0ubuntu2.1
python3.12	3.12.3-1ubuntu0.15
python3.12-minimal	3.12.3-1ubuntu0.15
qemu-user-static	1:8.2.2+ds-0ubuntu1.17
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tzdata	2026b-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.5
wireguard-tools	1.0.20210914-1ubuntu4
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
